#ENGLISH;HANHUA;x
#nick_wenzong;文宗;x
#nick_wuzong;武宗;x

b_quzhou13735;曲周;x
b_qiuxian13736;邱县;x
b_jize13737;鸡泽;x
b_shoushansi13738;寿山寺;x
k_shanxi14; 晋 ;x
d_datong141;大同;x
c_datong1411;大同;x
b_datong14111;大同;x
b_yanggao14112;阳高;x
b_tianzhen14113;天镇;x
b_xinrong14114;新荣;x
b_zuoyun14115;左云;x
b_nanjiao14116;南郊;x
b_kuangqu14117;矿区;x
b_gucheng14118;古城;x
c_guangling1412;广灵;x
b_guangling14121;广灵;x
b_qianfoling14122;千佛岭;x
b_hunyuan14123;浑源;x
b_lingqiu14124;灵丘;x
b_yixing14125;宜兴;x
b_zhoabei14126;赵北;x
b_wanghu14127;望狐;x
b_huanghuatan14128;黄花滩;x
c_yingxian1413;应县;x
b_yingxian14131;应县;x
b_xiashe14132;下社;x
b_huairen14133;怀仁;x
b_shanyin14134;山阴;x
b_jinshatan14135;金沙滩;x
b_yujing14136;玉井;x
b_yijing14137;义井;x
b_anrong14138;安荣;x
c_shuozhou1414;朔州;x
b_shuozhou14141;朔州;x
b_shentou14142;神头;x
b_youyu14143;右玉;x
b_pinglu14144;平鲁;x
b_fenghuang14145;凤凰;x
b_weiyuan14146;威远;x
b_limin14127;利民;x
b_youwei14128;右卫;x
c_hequ1415;河曲;x
b_hequ14151;河曲;x
b_shenchi14152;神池;x
b_baode14153;保德;x
b_pianguan14154;偏关;x
b_wuzhai14155;五寨;x
b_kelan14156;岢岚;x
b_ningwu14157;宁武;x
b_lugu14158;鹿谷;x
c_xinzhou1416;忻州;x
b_xinzhou14161;忻州;x
b_dingxiang14162;定襄;x
b_yuanping14163;原平;x
b_jingle14164;静乐;x
b_dongshe14165;东社;x
b_qincheng14166;秦城;x
b_shenshan14167;神山;x
b_xinfu14168;忻府;x
c_daizhou1417;代州;x
b_daizhou14171;代州;x
b_yanmenguan14172;雁门关;x
b_fanzhi14173;繁峙;x
b_zaolin14174;枣林;x
b_jianan14175;建安;x
b_dongshan14176;东山;x
b_hengjian14177;横涧;x
b_taihuai14178;台怀;x
d_taiyuan142;太原;x
c_lanxian1421;岚县;x
b_lanxian14211;岚县;x
b_qingliangsi14212;清凉寺;x
b_linxian14213;临县;x
b_xingxian14214;兴县;x
b_fangshan14215;方山;x
b_zhaoxian14216;招贤;x
b_kangning14217;康宁;x
b_puming14218;普明;x
c_lishi1422;离石;x
b_lishi14221;离石;x
b_jiaokou14222;交口;x
b_shilou14223;石楼;x
b_zhongyang14224;中阳;x
b_liulin14225;柳林;x
b_xinyi14226;信义;x
b_jinluo14227;金罗;x
b_wucheng14228;吴城;x
c_fenyang1423;汾阳;x
b_fenyang14231;汾阳;x
b_xiaoyi14232;孝义;x
b_wenshui14233;文水;x
b_jiaocheng14234;交城;x
b_xinghuacun14235;杏花村;x
b_xishe14236;西社;x
b_gaoyang14237;高阳;x
b_nanan14238;南安;x
c_pingyao1424;平遥;x
b_pingyao14241;平遥;x
b_qixian14242;祁县;x
b_jiexiu14243;介休;x
b_lingshi14244;灵石;x
b_xiamen14245;夏门;x
b_longfeng14246;龙凤;x
b_hongshan14227;洪善;x
b_laiyuan14228;来远;x
c_taiyuan1425;太原;x
b_taiyuan14251;太原;x
b_xinghualing14252;杏花岭;x
b_qingxu14253;清徐;x
b_gujiao14254;古交;x
b_loufan14255;娄烦;x
b_yangqu14256;阳曲;x
b_jinyuan14257;晋源;x
b_wanbailin14258;万柏林;x
d_jinzhong143;晋中;x
c_shouyang1431;寿阳;x
b_shouyang14311;寿阳;x
b_jingshang14312;景尚;x
b_taigu14313;太谷;x
b_yuci14314;榆次;x
b_yangyi14315;阳邑;x
b_dongyang14316;东阳;x
b_xiuwen14317;修文;x
b_pingtou14318;平头;x
c_yangquan1432;阳泉;x
b_yangquan14321;阳泉;x
b_pingding14322;平定;x
b_yuxian14323;盂县;x
b_niucun14324;牛村;x
b_xiyan14325;西烟;x
b_yex14326;冶西;x
b_kuangqu14327;矿区;x
b_jiaoqu14328;郊区;x
c_jinzhong1433;晋中;x
b_jinzhong14331;晋中;x
b_heshun14332;和顺;x
b_yushe14333;榆社;x
b_xiyang14334;昔阳;x
b_zuoquan14335;左权;x
b_qingcheng14336;青城;x
b_jiedu14337;界都;x
b_yunzhu14338;云竹;x
c_changzhi1434;长治;x
b_changzhi14341;长治;x
b_huguan14342;壶关;x
b_licheng14343;黎城;x
b_pingshun14344;平顺;x
b_lucheng14345;潞城;x
b_donghe14346;东和;x
b_jiaoqu14327;郊区;x
b_chnegqu14328;城区;x
c_qinxian1435;沁县;x
b_qinxian14351;沁县;x
b_qinyuan14352;沁源;x
b_wuxiang14353;武乡;x
b_xiangyuan14354;襄垣;x
b_tunliu14355;屯留;x
b_changzi14356;长子;x
b_heshenmiao14357;河神庙;x
b_xiadian14358;夏店;x
d_fenxi144;汾西;x
c_fenxi1441;汾西;x
b_fenxi14411;汾西;x
b_hongtong14412;洪洞;x
b_guxian14413;古县;x
b_yaodu14414;尧都;x
b_anze14415;安泽;x
b_huozhou14416;霍州;x
b_wanan14417;万安;x
b_linfen14418;临汾;x
c_xixian1442;隰县;x
b_xixian14421;隰县;x
b_wucheng14422;午城;x
b_yonghe14423;永和;x
b_huangtu14424;黄土;x
b_gedi14425;阁底;x
b_nanhzuang14426;南庄;x
b_potou14427;坡头;x
b_jiaokou14428;交口;x
c_puxian1443;蒲县;x
b_puxian14431;蒲县;x
b_jixian14432;吉县;x
b_xiangning14433;乡宁;x
b_daning14434;大宁;x
b_heilongguan14435;黑龙关;x
b_dongcheng14436;东城;x
b_xueguan14437;薛关;x
b_shuanghe14438;双鹤;x
c_yicheng1444;翼城;x
b_yicheng14441;翼城;x
b_fushan14442;浮山;x
b_xiangfen14443;襄汾;x
b_quwo14444;曲沃;x
b_houma14445;侯马;x
b_gaoxian14446;高显;x
b_taosi14447;陶寺;x
b_nantang14448;南唐;x
d_hedong145;河东;x
c_xinjiang1451;新绛;x
b_xinjiang14511;新绛;x
b_jishan14512;稷山;x
b_hejin14513;河津;x
b_wanrong14514;万荣;x
b_qinghe14515;清河;x
b_hanxue14516;汉薛;x
b_wanan14517;万安;x
b_ronghe14518;荣河;x
c_yongji1452;永济;x
b_yongji14521;永济;x
b_yanhu14522;盐湖;x
b_linyi14523;临猗;x
b_ruicheng14524;芮城;x
b_fenglingdu14525;风陵渡;x
b_yuxiang14526;虞乡;x
b_linjin14527;临晋;x
b_yuncheng14528;运城;x
c_jiangxian1453;绛县;x
b_jiangxian14531;绛县;x
b_wenxi14532;闻喜;x
b_yuanqu14533;垣曲;x
b_xiaxian14534;夏县;x
b_pinglu14535;平陆;x
b_changle14536;常乐;x
b_sijiao14537;泗交;x
b_shimen14538;石门;x
c_yangcheng1454;阳城;x
b_yangcheng14541;阳城;x
b_xihe14542;西河;x
b_qinshui14543;沁水;x
b_dongye14544;东冶;x
b_hebei14545;河北;x
b_manghe14546;蟒河;x
b_jaifeng14527;嘉峰;x
b_beiliu14528;北留;x
c_jincheng1455;晋城;x
b_jincheng14551;晋城;x
b_zezhou14552;泽州;x
b_gaoping14553;高平;x
b_lingchuan14554;陵川;x
b_gaodu14555;高都;x
b_shennong14556;神农;x
b_shanhe14557;山河;x
b_pingcheng14558;平城;x
k_neimenggu15;内蒙古;x
d_yinshan151;阴山;x
c_ejina1511;额济纳;x
b_ejinaqi15111;额济纳旗;x
b_wutaohai15112;乌陶海;x
b_alashanyouqi15113;阿拉善右旗;x
b_buge15114;布格;x
b_eribugai15115;额日布盖;x
b_saihantaolai15116;赛汉陶来;x
b_yabulai15117;雅布赖;x
b_tamusu15118;塔木素;x
c_wuhai1512;乌海;x
b_wuhai15121;乌海;x
b_suji15122;苏吉;x
b_alashanzuoqi15123;阿拉善左旗;x
b_wuliji15124;乌力吉;x
b_jilantai15125;吉兰泰;x
b_suhaitu15126;苏海图;x
b_toudaohu15127;头道湖;x
b_suhongtu15128;苏红图;x
c_etuoke1513;鄂托克;x
b_etuoke15131;鄂托克;x
b_hangjinqi15132;杭锦旗;x
b_etuokeqianqi15133;鄂托克前旗;x
b_wushenqi15134;乌审旗;x
b_chabu15135;查布;x
b_maladi15136;马拉迪;x
b_wushenzhao15137;乌审召;x
b_tongwancheng15138;统万城;x
c_dengkou1514;磴口;x
b_dengkou15141;磴口;x
b_dukou15142;渡口;x
b_liangtai15143;粮台;x
b_gongdi15144;公地;x
b_shajintaohaisumu15145;沙金套海苏木;x
b_hatengtaohaisumu15146;哈腾套海苏木;x
b_aolunbulage15127;敖伦布拉格;x
b_longshenghe15128;隆盛合;x
c_linhe1515;临河;x
b_bayanchuoer15151;巴彦淖尔;x
b_shuangmiao15152;双庙;x
b_hangjinhouqi15153;杭锦后旗;x
b_chengguan15154;城关;x
b_wuxing15155;五星;x
b_badai15156;八岱;x
b_shuanghe15157;双河;x
b_huangyangmutou15158;黄羊木头;x
c_wuyuan1516;五原;x
b_wuyuan15161;五原;x
b_shahe15162;沙河;x
b_xiangyang15163;向阳;x
b_hesheng15164;和胜;x
b_meilin15165;美林;x
b_yindingtu15166;银定图;x
b_xingongzhong15167;新公中;x
b_bayantaohai15168;巴彦套海;x
c_wulate1575;乌拉特;x
b_wulatehouqi15171;乌拉特后旗;x
b_duoruobumaode15172;多若布毛德;x
b_wulatezhongqi15173;乌拉特中旗;x
b_chuanjing15174;川井;x
b_ganqimaodu15175;甘其毛都;x
b_wengen15176;温根;x
b_hongfeng15177;宏丰;x
b_wujiahe15178;乌加河;x
d_huhehaote152;呼和浩特;x
c_baiyun1521;白云;x
b_baiyunebo15211;白云鄂博;x
b_mandula15212;满都拉;x
b_daerhanmaomingan15213;达尔罕茂明安;x
b_bayinhua15214;巴音花;x
b_bayinaobaosumu15215;巴音敖包苏木;x
b_sanggendalaisumu15216;桑根达来苏木;x
b_bayinzhurihesumu15217;巴音珠日和苏木;x
b_xinbaoligesumu15218;新宝力格苏木;x
c_guyang1522;固阳;x
b_guyang15221;固阳;x
b_jinshan15222;金山;x
b_huaishuo15223;怀朔;x
b_xidoupu15224;西斗铺;x
b_yinhao15225;银号;x
b_congjigou15226;S鸡沟;x
b_xiashihao15227;下湿壕;x
b_baliang15228;坝梁;x
c_jiuyuan1523;九原;x
b_baotou15231;包头;x
b_qingshan15232;青山;x
b_jiuyuan15233;九原;x
b_donghe15234;东河;x
b_kundulun15235;昆都仑;x
b_shiguai15236;石拐;x
b_tumoteyouqi15237;土默特右旗;x
b_shamujia15238;莎木佳;x
c_zhungeer1524;准格尔;x
b_zhungeerqi15241;准格尔旗;x
b_dalu15242;大路;x
b_dalateqi15243;达拉特旗;x
b_yaogou15244;窑沟;x
b_shierliancheng15245;十二连城;x
b_deshnegtai15246;德胜泰;x
b_yulinzi15227;榆林子;x
b_jigesitai15228;吉格斯太;x
c_dongsheng1525;东胜;x
b_eerduosi15251;鄂尔多斯;x
b_yijinhuoluo15252;伊金霍洛;x
b_dongsheng15253;东胜;x
b_taigesumu15254;台格苏木;x
b_wanli15255;万利;x
b_nalintaohai15256;纳林陶亥;x
b_chaideng15257;柴登;x
b_bulian15258;布连;x
c_huhehaote1526;呼和浩特;x
b_huhehaote15261;呼和浩特;x
b_yuquan15262;玉泉;x
b_tuoketuo15263;托克托;x
b_wuchuan15264;武川;x
b_helingeer15265;和林格尔;x
b_qingshuihe15266;清水河;x
b_tumotezuoqi15267;土默特左旗;x
b_huimin15268;回民;x
d_keerqin153;科尔沁;x
c_chahaer1531;察哈尔;x
b_wulanchabu15311;乌兰察布;x
b_zhuozi15312;卓资;x
b_huade15313;化德;x
b_siwangziqi15314;四王子旗;x
b_liangcheng15315;凉城;x
b_chahaeryouyizhongqi15316;察哈尔右翼中旗;x
b_chahaeryouyihouqi15317;察哈尔右翼后旗;x
b_chahaeryouyiqianqi15318;察哈尔右翼前旗;x
c_erlianhaote1532;二连浩特;x
b_erlianhaote15321;二连浩特;x
b_erenchuoer15322;额仁淖尔;x
b_suniteyouqi15323;苏尼特右旗;x
b_xianghuangqi15324;镶黄旗;x
b_derisitu15325;德日斯图;x
b_butumujisumu15326;布图木吉苏木;x
b_bayintala15327;巴音塔拉;x
b_hugejiletusumu15328;呼格吉勒图苏木;x
c_xilingele1533;锡林格勒;x
b_duolun15331;多伦;x
b_taipusiqi15332;太仆寺旗;x
b_xilinhaote15333;锡林浩特;x
b_sunitezuoqi15334;苏尼特左旗;x
b_abagaqi15335;阿巴嘎旗;x
b_zhenglanqi15336;正蓝旗;x
b_zhengxiangbaiqi15337;正镶白旗;x
b_yuanbaoshan15338;元宝山;x
c_wuzhumuqin1534;乌珠穆沁;x
b_dongwuzhumuqin15341;东乌珠穆沁旗;x
b_xiwuzhumuqin15342;西乌珠穆沁旗;x
b_huolinguole15343;霍林郭勒;x
b_baolage15344;宝拉格;x
b_wulagai15345;乌拉盖;x
b_gaorihan15346;高日罕;x
b_bayanhushuo15327;巴彦胡硕;x
b_bayanhuobuer15328;巴彦霍布尔;x
c_chifeng1535;赤峰;x
b_chifeng15351;赤峰;x
b_ningcheng15352;宁城;x
b_linxi15353;林西;x
b_balinyouqi15354;巴林右旗;x
b_kalaqinqi15355;喀喇沁旗;x
b_aohanqi15356;敖汉旗;x
b_wengniuteqi15357;翁牛特旗;x
b_balinzuoqi15358;巴林左旗;x
c_keerqin1536;科尔沁;x
b_tongliao15361;通辽;x
b_kulunqi15362;库伦旗;x
b_naimanqi15363;奈曼旗;x
b_kailu15364;开鲁;x
b_zhaluteqi15365;扎鲁特旗;x
b_alukeerqinqi15366;阿鲁科尔沁旗;x
b_keerqinyouyizhongqi15367;科尔沁右翼中旗;x
b_keerqinzouyizhouqi15368;科尔沁左翼中旗;x
d_xinganling154;兴安岭;x
c_aershan1541;阿尔山;x
b_xinganmeng15411;兴安盟;x
b_aershan15412;阿尔山;x
b_tuquan15413;突泉;x
b_wulanhaote15414;乌兰浩特;x
b_suolun15415;索伦;x
b_keerqinyouyiqianqi15416;科尔沁右翼前旗;x
b_wuchagou15417;五岔沟;x
b_zhalaiteqi15418;扎赉特旗;x
c_manzhouli1542;满洲里;x
b_manzhouli15421;满洲里;x
b_xinbaerhuyouqi15422;新巴尔虎右旗;x
b_xinbaerhuzuoqi15423;新巴尔虎左旗;x
b_chenbaerhuqi15424;陈巴尔虎旗;x
b_keerlun15425;克尔伦;x
b_beier15426;贝尔;x
b_heishantou15427;黑山头;x
b_hadatu15428;哈达图;x
c_hulunbeier1543;呼伦贝尔;x
b_hulunbeier15431;呼伦贝尔;x
b_yakeshi15432;牙克石;x
b_zhalantun15433;扎兰屯;x
b_ewenkezuzizhiqi15434;鄂温克族自治旗;x
b_taerqi15435;塔尔气;x
b_yuanlin15436;原林;x
b_yiliekede15437;伊列克得;x
b_honghuaerji15438;红花尔基;x
c_molidawa1544;莫力达瓦;x
b_molidawa15441;莫力达瓦;x
b_arongqi15442;阿荣旗;x
b_elunchunzizhiqi15443;鄂伦春自治旗;x
b_dayangshu15444;大杨树;x
b_jiagedaqi15445;加格达奇;x
b_wangfenglinchang15446;望峰林场;x
b_hadayang15427;哈达阳;x
b_hongyan15428;红彦;x
c_genhe1545;根河;x
b_genhe15451;根河;x
b_xikouzi15452;西口子;x
b_eerguna15453;额尔古纳;x
b_enhe15454;恩和;x
b_alongshan15455;阿龙山;x
b_jinhe15456;金河;x
b_qiqian15457;奇乾;x
b_yitulihe15458;伊图里河;x
k_liaoning21; 辽 ;x
d_liaoxi211;辽西;x
c_chaoyang2111;朝阳;x
b_chaoyang21111;朝阳;x
b_shuangta21112;双塔;x
b_longcheng21113;龙城;x
b_jianping21114;建平;x
b_beipiao21115;北票;x
b_lingyuan21116;凌源;x
b_kalaqin21117;喀喇沁;x
b_xiaochengzi21118;小城子;x
c_huludao2112;葫芦岛;x
b_huludao21121;葫芦岛;x
b_lianshan21122;连山;x
b_longgang21123;龙港;x
b_nanpiao21124;南票;x
b_suizhong21125;绥中;x
b_jianchang21126;建昌;x
b_xingcheng21127;兴城;x
b_ningyuan21128;宁远;x
c_jinzhou2113;锦州;x
b_jinzhou21131;锦州;x
b_guta21132;古塔;x
b_linghe21133;凌河;x
b_taihe21134;太和;x
b_heishan21135;黑山;x
b_yixian21136;义县;x
b_linghai21137;凌海;x
b_beizhen21138;北镇;x
c_fuxin2114;阜新;x
b_fuxin21141;阜新;x
b_haizhou21142;海州;x
b_xinqiu21143;新邱;x
b_taiping21144;太平;x
b_qinghemen21145;清河门;x
b_xihe21146;细河;x
b_zhangwu21127;彰武;x
b_jianshe21128;建设;x
d_shenyang221;沈阳;x
c_shenyang2211;沈阳;x
b_shenyzng22111;沈阳;x
b_liaozhong22112;辽中;x
b_xinmin22113;新民;x
b_faku22114;法库;x
b_kangping22115;康平;x
b_shenbei22116;沈北;x
b_yuhong22117;于洪;x
b_dongling22118;东陵;x
c_tieling2212;铁岭;x
b_tieling22121;铁岭;x
b_yinzhou22122;银州;x
b_qinghe22123;清河;x
b_xifeng22124;西丰;x
b_changtu22125;昌图;x
b_kaiyuan22126;开原;x
b_diaobingshan22127;调兵山;x
b_xiongguantun22128;熊官屯;x
c_fushun2213;抚顺;x
b_fushun22131;抚顺;x
b_xinfu22132;新抚;x
b_dongzhou22133;东洲;x
b_wanghua22134;望花;x
b_shuncheng22135;顺城;x
b_xinbin22136;新宾;x
b_qingyuan22137;清原;x
b_houan22138;后安;x
d_liaoyang231;辽阳;x
c_benxi2311;本溪;x
b_benxi23111;本溪;x
b_pingshan23112;平山;x
b_nanfen23113;南芬;x
b_huanren23114;桓仁;x
b_mingshan23115;明山;x
b_xihu23116;溪湖;x
b_qinghecheng23117;清河城;x
b_yahe23118;雅河;x
c_liaoyang2312;辽阳;x
b_liaoyang23121;辽阳;x
b_baita23122;白塔;x
b_wensheng23123;文圣;x
b_hongwei23124;宏伟;x
b_gongchangling23125;弓长岭;x
b_taizihe23126;太子河;x
b_dengta23127;灯塔;x
b_shoushan23128;首山;x
c_dandong2313;丹东;x
b_dandong23131;丹东;x
b_yuanbao23132;元宝;x
b_zhenxing23133;振兴;x
b_kuandian23134;宽甸;x
b_donggang23135;东港;x
b_fengcheng23136;凤城;x
b_zhenan23137;振安;x
b_taipingshao23138;太平哨;x
d_dalian241;大连;x
c_anshan2411;鞍山;x
b_anshan24111;鞍山;x
b_lishan24112;立山;x
b_tiexi24113;铁西;x
b_qianshan24114;千山;x
b_tiedong24115;铁东;x
b_taian24116;台安;x
b_haicheng24117;海城;x
b_xiuyan24118;岫岩;x
c_panjin2412;盘锦;x
b_panjin24121;盘锦;x
b_shuangtaizi24122;双台子;x
b_xinglongtai24123;兴隆台;x
b_dawa24124;大洼;x
b_yushu24125;榆树;x
b_taiping24126;太平;x
b_dongfeng24127;东风;x
b_desheng24128;德胜;x
c_yingkou2413;营口;x
b_yingkou24131;营口;x
b_zhanqian24132;站前;x
b_laobian24133;老边;x
b_gaizhou24134;盖州;x
b_dashiqiao24135;大石桥;x
b_xishi24136;西市;x
b_bayuquan24137;鲅鱼圈;x
b_wanfu24138;万福;x
c_dalian2414;大连;x
b_dalian24141;大连;x
b_jinzhou24142;金州;x
b_lvshun24143;旅顺;x
b_changhai24144;长海;x
b_zhuanghe24145;庄河;x
b_pulandian24146;普兰店;x
b_wafangdian24127;瓦房店;x
b_ganjingzi24128;甘井子;x
k_jilin22; 吉 ;x
d_changchun221;长春;x
c_baicheng2211;白城;x
b_baicheng22111;白城;x
b_tongyu22112;通榆;x
b_taonan22113;洮南;x
b_zhenlai22114;镇赉;x
b_taobei22115;洮北;x
b_datun22116;大屯;x
b_xinglongshan22117;兴隆山;x
b_anguang22118;安广;x
c_songyuan2212;松原;x
b_songyuan22121;松原;x
b_changling22122;长岭;x
b_fuyu22123;扶余;x
b_qianan22124;乾安;x
b_ningjiang22125;宁江;x
b_qianguoerluosi22126;前郭尔罗斯;x
b_dabusu22127;大布苏;x
b_changchunling22128;长春岭;x
c_changchun2213;长春;x
b_changchun22131;长春;x
b_jiutai22132;九台;x
b_dehui22133;德惠;x
b_yulin22134;榆林;x
b_nongan22135;农安;x
b_shuangyang22136;双阳;x
b_kuancheng22137;宽城;x
b_nanguan22138;南关;x
d_tonghua222;通化;x
c_siping2221;四平;x
b_siping22211;四平;x
b_lishu22212;梨树;x
b_shuangliao22213;双辽;x
b_gongzhuling22214;公主岭;x
b_yitong22215;伊通;x
b_tiedong22216;铁东;x
b_tiexi22217;铁西;x
b_huaide22218;怀德;x
c_liaoyuan2222;辽源;x
b_liaoyuan22221;辽源;x
b_dongfeng22222;东丰;x
b_xian22223;西安;x
b_longshan22224;龙山;x
b_dongliao22225;东辽;x
b_shahe22226;沙河;x
b_anshi22227;安石;x
b_erlongshan22228;二龙山;x
c_tonghua2223;通化;x
b_tonghua22231;通化;x
b_jian22232;集安;x
b_liuhe22233;柳河;x
b_huinan22234;辉南;x
b_meihekou22235;梅河口;x
b_erdaojiang22236;二道江;x
b_dongchang22237;东昌;x
b_qingshi22238;青石;x
d_jilin223;吉林;x
c_jilin2231;吉林;x
b_jilin22311;吉林;x
b_yongji22312;永吉;x
b_panshi22313;磐石;x
b_huadian22314;桦甸;x
b_jiaohe22315;蛟河;x
b_shulan22316;舒兰;x
b_changyi22317;昌邑;x
b_longtan22318;龙潭;x
c_baishan2232;白山;x
b_baishan22321;白山;x
b_jingyu22322;靖宇;x
b_fusong22323;抚松;x
b_jiangyuan22324;江源;x
b_hunjiang22325;浑江;x
b_linjiang22326;临江;x
b_changbai22327;长白;x
b_wanliang22328;万良;x
c_yanbian2233;延边;x
b_yanbian22331;延边;x
b_dunhua22332;敦化;x
b_antu22333;安图;x
b_helong22334;和龙;x
b_wangqing22335;汪清;x
b_hunchun22336;珲春;x
b_longjing22337;龙井;x
b_tumen22338;图们;x
k_heilongjiang23; 黑 ;x
d_qiqihaer231;齐齐哈尔;x
c_mohe2311;漠河;x
b_mohe23111;漠河;x
b_tahe23112;塔河;x
b_huma23113;呼玛;x
b_huzhong23114;呼中;x
b_xinlin23115;新林;x
b_daxinganling23116;大兴安岭;x
b_xilin23117;西林;x
b_guli23118;古里;x
c_heihe2312;黑河;x
b_heihe23121;黑河;x
b_aihui23122;爱辉;x
b_nenjiang23123;嫩江;x
b_xunke23124;逊克;x
b_sunwu23125;孙吴;x
b_beian23126;北安;x
b_wudalianchi23127;五大连池;x
b_tongbei23128;通北;x
c_qiqihaer2313;齐齐哈尔;x
b_qiqihaer23131;齐齐哈尔;x
b_longjiang23132;龙江;x
b_yian23133;依安;x
b_tailai23134;泰来;x
b_gannan23135;甘南;x
b_fuyu23136;富裕;x
b_keshan23137;克山;x
b_baiquan23138;拜泉;x
c_daqing2314;大庆;x
b_daqing23141;大庆;x
b_saertu23142;萨尔图;x
b_longfeng23143;龙凤;x
b_ranghulu23144;让胡路;x
b_honggang23145;红岗;x
b_zhaozhou23146;肇州;x
b_lindian23127;林甸;x
b_duerbote23128;杜尔伯特;x
c_suihua2315;绥化;x
b_suihua23151;绥化;x
b_wangkui23152;望奎;x
b_lanxi23153;兰西;x
b_qinggang23154;青冈;x
b_qingan23155;庆安;x
b_mingshui23156;明水;x
b_anda23157;安达;x
b_hailung23158;海伦;x
d_haerbin232;哈尔滨;x
c_haerbin2321;哈尔滨;x
b_haerbin23211;哈尔滨;x
b_shuangcheng23212;双城;x
b_shangzhi23213;尚志;x
b_wuchang23214;五常;x
b_yilan23215;依兰;x
b_fangzheng23216;方正;x
b_bayan23217;巴彦;x
b_mulan23218;木兰;x
c_suifenhe2322;绥芬河;x
b_suifenhe23221;绥芬河;x
b_mudanjiang23222;牡丹江;x
b_dongning23223;东宁;x
b_hailin23224;海林;x
b_ningan23225;宁安;x
b_muling23226;穆棱;x
b_linkou23227;林口;x
b_yangming23228;阳明;x
c_jixi2323;鸡西;x
b_jixi23231;鸡西;x
b_jidong23232;鸡东;x
b_hulin23233;虎林;x
b_mishan23234;密山;x
b_mashan23235;麻山;x
b_chengzihe23236;城子河;x
b_lishu23237;梨树;x
b_didao23238;滴道;x
c_qitaihe2324;七台河;x
b_qitaihe23241;七台河;x
b_xinxing23242;新兴;x
b_taoshan23243;桃山;x
b_qiezihe23244;茄子河;x
b_boli23245;勃利;x
b_wanbaohe23246;万宝河;x
b_woken23227;倭肯;x
b_hongqi23228;红旗;x
d_hegang233;鹤岗;x
c_yichun2331;伊春;x
b_yichun23311;伊春;x
b_jaiyin23312;嘉荫;x
b_tieli23313;铁利;x
b_wuyiling23314;乌伊岭;x
b_meixi23315;美溪;x
b_wuying23316;五营;x
b_wumahe23317;乌马河;x
b_tangwanghe23318;汤旺河;x
c_hegang2332;鹤岗;x
b_hegang23321;鹤岗;x
b_luobei23322;萝北;x
b_suibin23323;绥滨;x
b_xingshan23324;兴山;x
b_xingan23325;兴安;x
b_nanshan23326;南山;x
b_xiangyang23327;向阳;x
b_dongshan23328;东山;x
c_jiamusi2333;佳木斯;x
b_jiamusi23331;佳木斯;x
b_xiangyang23332;向阳;x
b_qianjin23333;前进;x
b_dongfeng23334;东风;x
b_jiaoqu23335;郊区;x
b_tangyuan23336;汤原;x
b_huanan23337;桦南;x
b_huachuan23338;桦川;x
c_shuangyashan2334;双鸭山;x
b_shuangyashan23341;双鸭山;x
b_jixian23342;集贤;x
b_youyi23343;友谊;x
b_baoqing23344;宝清;x
b_raohe23345;饶河;x
b_baoshan23346;宝山;x
b_sifangtai23327;四方台;x
b_jianshan23328;尖山;x
c_suiyuan2335;绥远;x
b_fujin23351;富锦;x
b_tongjiang23352;同江;x
b_sanhe23353;三河;x
b_fuyuan23354;抚远;x
b_changan23355;长安;x
b_leye23356;乐业;x
b_qinghe23357;清河;x
b_linjiang23358;临江;x
k_shanghai31; 沪 ;x
d_shanghai311;上海;x
c_qingpu3111;青浦;x
b_qingpu31111;青浦;x
b_songjiang31112;松江;x
b_jinshan31113;金山;x
b_fengxian31114;奉贤;x
b_jinze31115;金泽;x
b_songyin31116;松隐;x
b_tinglin31117;亭林;x
b_baihe31118;白鹤;x
c_shanghai3112;上海;x
b_shanghai31121;上海;x
b_jiading31122;嘉定;x
b_baoshan31123;宝山;x
b_nanhui31124;南汇;x
b_minxing31125;闵行;x
b_huating31126;华亭;x
b_malu31127;马陆;x
b_donghai31128;东海;x
c_changdao3113;长岛;x
b_chongming31131;崇明;x
b_miaozhen31132;庙镇;x
b_baozhen31133;堡镇;x
b_chenjiazhen31134;陈家镇;x
b_niupeng31135;牛棚;x
b_xinhe31136;新河;x
