#ENGLISH;HANHUA;x
b_yuansha31137;圆沙;x
b_fumin31138;富民;x
k_jiangsu32; 苏 ;x
d_jianye321;建邺;x
c_suzhou3211;苏州;x
b_suzhou32111;苏州;x
b_kunshan32112;昆山;x
b_taicang32113;太仓;x
b_changshu32114;常熟;x
b_zhangjiagang32115;张家港;x
b_wujiang32116;吴江;x
b_gusu32117;姑苏;x
b_huqiu32118;虎丘;x
c_wuxi3212;无锡;x
b_wuxi32121;无锡;x
b_huishan32122;惠山;x
b_jiangyin32123;江阴;x
b_xishan32124;锡山;x
b_yixing32125;宜兴;x
b_binhu32126;滨湖;x
b_chongan32127;崇安;x
b_nanchang32128;南长;x
c_changzhou3213;常州;x
b_changzhou32131;常州;x
b_wujin32132;武进;x
b_jintan32133;金坛;x
b_xinbei32134;新北;x
b_liyang32135;溧阳;x
b_zhonglou32136;钟楼;x
b_tianning32137;天宁;x
b_qieshuyan32138;戚墅堰;x
c_zhenjiang3214;镇江;x
b_zhenjiang32141;镇江;x
b_jingkou32142;京口;x
b_runzhou32143;润州;x
b_dantu32144;丹徒;x
b_danyang32145;丹阳;x
b_yangzhong32146;扬中;x
b_jurong32127;句容;x
b_yunyang32128;云阳;x
c_nanjing3215;南京;x
b_jianye32151;建邺;x
b_qinhuai32152;秦淮;x
b_xuanwu32153;玄武;x
b_jiangning32154;江宁;x
b_qixia32155;栖霞;x
b_gaochun32156;高淳;x
b_lishui32157;溧水;x
b_gulou32158;鼓楼;x
d_suzhong322;苏中;x
c_yangzhou3221;扬州;x
b_yangzhou32211;扬州;x
b_guangling32212;广陵;x
b_jiangdu32213;江都;x
b_gaoyou32214;高邮;x
b_baoying32215;宝应;x
b_hanjiang32216;邗江;x
b_liuhe32217;六合;x
b_pukou32218;浦口;x
c_taizhou3222;泰州;x
b_taizhou32221;泰州;x
b_hailing32222;海陵;x
b_gaogang32223;高港;x
b_jiangyan32224;姜堰;x
b_xinghua32225;兴化;x
b_jingjiang32226;靖江;x
b_taixing32227;泰兴;x
b_zhaoyang32228;昭阳;x
c_nantong3223;南通;x
b_nantong32231;南通;x
b_haian32232;海安;x
b_rugao32233;如皋;x
b_haimen32234;海门;x
b_qidong32235;启东;x
b_chongchuan32236;崇川;x
b_tongzhou32237;通州;x
b_gangzha32238;港闸;x
c_yancheng3224;盐城;x
b_yancheng32241;盐城;x
b_tinghu32242;亭湖;x
b_sheyang32243;射阳;x
b_jianhu32244;建湖;x
b_dongtai32245;东台;x
b_dafeng32246;大丰;x
b_yandu32227;盐都;x
b_xiangshui32228;响水;x
c_huaian3225;淮安;x
b_huaian32251;淮安;x
b_huaiyin32252;淮阴;x
b_xuyi32253;盱眙;x
b_hongze32254;洪泽;x
b_qinghe32255;清河;x
b_qingpu32256;清浦;x
b_jinhu32257;金湖;x
b_lianshui32258;涟水;x
d_subei323;苏北;x
c_lianyungang3231;连云港;x
b_lianyungang32311;连云港;x
b_haizhou32312;海州;x
b_donghai32313;东海;x
b_guanyun32314;灌云;x
b_guannan32315;灌南;x
b_ganyu32316;赣榆;x
b_xinpu32317;新浦;x
b_lianyun32318;连云;x
c_xuzhou3232;徐州;x
b_xuzhou32321;徐州;x
b_pizhou32322;邳州;x
b_xinyi32323;新沂;x
b_peixian32324;沛县;x
b_jiawang32325;贾汪;x
b_fengxian32326;丰县;x
b_suining32327;睢宁;x
b_tongshan32328;铜山;x
c_suqian3233;宿迁;x
b_suqian32331;宿迁;x
b_siyang32332;泗阳;x
b_sihong32333;泗洪;x
b_sucheng32334;宿城;x
b_shuyang32335;沭阳;x
b_suyu32336;宿豫;x
b_taiping32337;太平;x
b_lailong32338;来龙;x
k_zhejiang33; 浙 ;x
d_wenzhou331;温州;x
c_wenzhou3311;温州;x
b_wenzhou33111;温州;x
b_yongjia33112;永嘉;x
b_leqing33113;乐清;x
b_dongtou33114;洞头;x
b_ruian33115;瑞安;x
b_wencheng33116;文成;x
b_pingyang33117;平阳;x
b_cangnan33118;苍南;x
c_lishui3312;丽水;x
b_lishui33121;丽水;x
b_qingtian33122;青田;x
b_jinyun33123;缙云;x
b_suichang33124;遂昌;x
b_songyang33125;松阳;x
b_yunhe33126;云和;x
b_qingyuan33127;庆元;x
b_jingning33128;景宁;x
c_quzhou3313;衢州;x
b_quzhou33131;衢州;x
b_kecheng33132;柯城;x
b_qujiang33133;衢江;x
b_changshan33134;常山;x
b_kaihua33135;开化;x
b_longyou33136;龙游;x
b_jiangshan33137;江山;x
b_shangyu33138;上余;x
c_jinhua3314;金华;x
b_jinhua33141;金华;x
b_wucheng33142;婺城;x
b_jindong33143;金东;x
b_wuyi33144;武义;x
b_pujiang33145;浦江;x
b_lanxi33146;兰溪;x
b_dongyang33127;东阳;x
b_yongkang33128;永康;x
d_shaoxing332;绍兴;x
c_taizhou3321;台州;x
b_taizhou33211;台州;x
b_jiaojiang33212;椒江;x
b_huangyan33213;黄岩;x
b_sanmen33214;三门;x
b_tiantai33215;天台;x
b_xianju33216;仙居;x
b_wenling33217;温岭;x
b_linhai33218;临海;x
c_ningbo3322;宁波;x
b_ningbo33221;宁波;x
b_yuyao33222;余姚;x
b_cixi33223;慈溪;x
b_fenghua33224;奉化;x
b_xiangshan33225;象山;x
b_ninghai33226;宁海;x
b_zhenhai33227;镇海;x
b_haishu33228;海曙;x
c_zhoushanqundao3323;舟山群岛;x
b_zhoushan33231;舟山;x
b_dinghai33232;定海;x
b_putuo33233;普陀;x
b_daishan33234;岱山;x
b_shengsi33235;嵊泗;x
b_guozhuang33236;东沙角;x
b_badaling33237;衢山;x
b_shahe33238;嵊山;x
c_shaoxing3324;绍兴;x
b_shaoxing33241;绍兴;x
b_shangyu33242;上虞;x
b_zhuji33243;诸暨;x
b_shengzhou33244;嵊州;x
b_xinchang33245;新昌;x
b_keqiao33246;柯桥;x
b_yuecheng33227;越城;x
b_jinghu33228;镜湖;x
d_hangzhou333;杭州;x
c_hangzhou3331;杭州;x
b_hangzhou33311;杭州;x
b_fuyang33312;富阳;x
b_tonglu33313;桐庐;x
b_linan33314;临安;x
b_jiande33315;建德;x
b_chunan33316;淳安;x
b_xihu33317;西湖;x
b_yuhang33318;余杭;x
c_huzhou3332;湖州;x
b_huzhou33321;湖州;x
b_wuxing33322;吴兴;x
b_nanxun33323;南浔;x
b_deqing33324;德清;x
b_changxing33325;长兴;x
b_anji33326;安吉;x
b_binhu33327;滨湖;x
b_wukang33328;武康;x
c_jiaxing3333;嘉兴;x
b_zhoushan33331;嘉兴;x
b_dinghai33332;秀洲;x
b_putuo33333;平湖;x
b_daishan33334;海宁;x
b_shengsi33335;桐乡;x
b_guozhuang33336;嘉善;x
b_badaling33337;海盐;x
b_shahe33338;南湖;x
k_anhui34; 皖 ;x
d_huaibei341;淮北;x
c_suzhou3411;宿州;x
b_suzhou34111;宿州;x
b_lingbi34112;灵璧;x
b_sixian34113;泗县;x
b_xiaoxian34114;萧县;x
b_dangshan34115;砀山;x
b_yongqiao34116;桥;x
b_fuli34117;符离;x
b_qixian34118;蕲县;x
c_huaibei3412;淮北;x
b_huaibei34121;淮北;x
b_lieshan34122;烈山;x
b_duji34123;杜集;x
b_xiangshan34124;相山;x
b_suixi34125;濉溪;x
b_shitai34126;石台;x
b_baishan34127;百善;x
b_tiefo34128;铁佛;x
c_bozhou3413;亳州;x
b_bozhou34131;亳州;x
b_qiaocheng34132;谯城;x
b_mengcheng34133;蒙城;x
b_lixin34134;利辛;x
b_woyang34135;涡阳;x
b_caoshi34136;曹市;x
b_xiyang34137;西阳;x
b_longshan34138;龙山;x
c_fuyang3414;阜阳;x
b_fuyang34141;阜阳;x
b_yingzhou34142;颍州;x
b_linquan34143;临泉;x
b_taihe34144;太和;x
b_funan34145;阜南;x
b_yingshang34146;颍上;x
b_jieshou34127;界首;x
b_yingdong34128;颍东;x
c_bengbu3415;蚌埠;x
b_bengbu34151;蚌埠;x
b_guzhen34152;固镇;x
b_huaiyuan34153;怀远;x
b_huaishang34154;淮上;x
b_yuhui34155;禹会;x
b_longzihu34156;龙子湖;x
b_bengshan34157;蚌山;x
b_wucha34158;五岔;x
d_huainan342;淮南;x
c_huainan3421;淮南;x
b_huainan34211;淮南;x
b_bagongshan34212;八公山;x
b_datong34213;大通;x
b_fengtai34214;凤台;x
b_panji34215;潘集;x
b_xiejiaji34216;谢家集;x
b_tianjiaan34217;田家庵;x
b_sanhe34218;三和;x
c_chuzhou3422;滁州;x
b_chuzhou34221;滁州;x
b_langya34222;琅琊;x
b_laian34223;来安;x
b_fengyang34224;凤阳;x
b_dingyuan34225;定远;x
b_nanqiao34226;南谯;x
b_tianchang34227;天长;x
b_mingguang34228;明光;x
c_hefei3423;合肥;x
b_hefei34231;合肥;x
b_luyang34232;庐阳;x
b_feixi34233;肥西;x
b_changfeng34234;长丰;x
b_yaohai34235;瑶海;x
b_baohe34236;包河;x
b_shushan34237;蜀山;x
b_feidong34238;肥东;x
c_luan3424;六安;x
b_luan34241;六安;x
b_shouxian34242;寿县;x
b_shucheng34243;舒城;x
b_jinzhai34244;金寨;x
b_yuan34245;裕安;x
b_huoqiu34246;霍邱;x
b_huoshan34227;霍山;x
b_jinan34228;金安;x
c_anqing3425;安庆;x
b_anqing34251;安庆;x
b_daguan34252;大观;x
b_susong34253;宿松;x
b_yuexi34254;岳西;x
b_wangjiang34255;望江;x
b_huaining34256;怀宁;x
b_yixiu34257;宜秀;x
b_qianshan34258;潜山;x
c_chaohu3426;巢湖;x
b_chaohu34261;巢湖;x
b_wuwei34262;无为;x
b_lujiang34263;庐江;x
b_hanshan34264;含山;x
b_hexian34265;和县;x
b_jinniu34266;金牛;x
b_dongguan34267;东关;x
b_longqiao34268;龙桥;x
d_huangshan343;黄山;x
c_maanshan3431;马鞍山;x
b_maanshan34311;马鞍山;x
b_bowang34312;博望;x
b_dangtu34313;当涂;x
b_yushan34314;雨山;x
b_huashan34315;花山;x
b_huoli34316;霍里;x
b_xiangshan34317;向山;x
b_yintang34318;银塘;x
c_wuhu3432;芜湖;x
b_wuhu34321;芜湖;x
b_sanshan34322;三山;x
b_nanling34323;南陵;x
b_jinghu34324;镜湖;x
b_yijiang34325;弋江;x
b_fanchang34326;繁昌;x
b_jiujiang34327;鸠江;x
b_hengshan34328;横山;x
c_tongling3433;铜陵;x
b_tongling34331;铜陵;x
b_shizishan34332;狮子山;x
b_tonggaunshan34333;铜官山;x
b_datong34334;大通;x
b_taiping34335;太平;x
b_shunan34336;顺安;x
b_zhongming34337;钟鸣;x
b_dongdian34338;董店;x
c_chizhou3434;池州;x
b_chizhou34341;池州;x
b_dongzhi34342;东至;x
b_shitai34343;石台;x
b_qingyang34344;青阳;x
b_guichi34345;贵池;x
b_fengyi34346;凤仪;x
b_jiuhua34327;九华;x
b_lingyang34328;陵阳;x
c_huangshan3435;黄山;x
b_huangshan34351;黄山;x
b_huizhou34352;徽州;x
b_qimen34353;祁门;x
b_xiuning34354;休宁;x
b_tunxi34355;屯溪;x
b_shexian34356;歙县;x
b_yixian34357;黟县;x
b_wucheng34358;五城;x
c_xuancheng3436;宣城;x
b_bengbu34361;宣城;x
b_guzhen34362;广德;x
b_huaiyuan34363;绩溪;x
b_huaishang34364;旌德;x
b_yuhui34365;宁国;x
b_longzihu34366;泾县;x
b_bengshan34367;郎溪;x
b_wucha34368;宣州;x
k_fujian35; 闽 ;x
d_mindong351;闽东;x
c_putian3511;莆田;x
b_putian35111;莆田;x
b_xianyou35112;仙游;x
b_hanjiang35113;涵江;x
b_xiuyu35114;秀屿;x
b_huating35115;华亭;x
b_gaiwei35116;盖尾;x
b_donghai35117;东海;x
b_changtai35118;常太;x
c_fuzhou3512;福州;x
b_fuzhou35121;福州;x
b_changle35122;长乐;x
b_pingtan35123;平潭;x
b_fuqing35124;福清;x
b_yongtai35125;永泰;x
b_minqing35126;闽清;x
b_minhou35127;闽侯;x
b_luoyuan35128;罗源;x
c_ningde3513;宁德;x
b_ningde35131;宁德;x
b_gutian35132;古田;x
b_pingnan35133;屏南;x
b_zhouning35134;周宁;x
b_fuan35135;福安;x
b_xiapu35136;霞浦;x
b_fuding35137;福鼎;x
b_shouning35138;寿宁;x
c_nanping3514;南平;x
b_nanping35141;南平;x
b_shunchang35142;顺昌;x
b_shaowu35143;邵武;x
b_jianyang35144;建阳;x
b_guangze35145;光泽;x
b_wuyishan35146;武夷山;x
b_songxi35147;松溪;x
b_zhenghe35148;政和;x
d_minxi352;闽西;x
c_zhangzhou3521;漳州;x
b_zhangzhou35211;漳州;x
b_longhai35212;龙海;x
b_zhangpu35213;漳浦;x
b_pinghe35214;平和;x
b_yunxiao35215;云霄;x
b_zhaoan35216;诏安;x
b_dongshan35217;东山;x
b_huaan35218;华安;x
c_xiamen3522;厦门;x
b_xiamen35221;厦门;x
b_jinmen35222;金门;x
b_jimei35223;集美;x
b_huli35224;湖里;x
b_haicang35225;海沧;x
b_siming35226;思明;x
b_jinsha35227;金沙;x
b_jinhu35228;金湖;x
c_longyan3523;龙岩;x
b_longyan35231;龙岩;x
b_zhangping35232;漳平;x
b_yongding35233;永定;x
b_shanghang35234;上杭;x
b_changting35235;长汀;x
b_liancheng35236;连城;x
b_wuping35237;武平;x
b_gutian35238;古田;x
c_sanming3524;三明;x
b_huairou35241;三明;x
b_miyun35242;永安;x
b_shunyi35243;大田;x
b_beishicheng35244;尤溪;x
b_mulin35245;沙县;x
b_xizhuang35246;明溪;x
b_zhangxin35247;建宁;x
b_chawu35248;宁化;x
c_quanzhou3525;泉州;x
b_quanhzou35251;泉州;x
b_anxi35252;安溪;x
b_yongchun35253;永春;x
b_dehua35254;德化;x
b_nanan35255;南安;x
b_jinjiang35256;晋江;x
b_huian35257;惠安;x
b_shishi35258;石狮;x
k_jiangxi36; 赣 ;x
d_nanchang361;南昌;x
c_jiujiang3611;九江;x
b_jiujiang36111;九江;x
b_lushan36112;庐山;x
b_hukou36113;湖口;x
b_pengze36114;彭泽;x
b_ruichang36115;瑞昌;x
b_wuning36116;武宁;x
b_xiushui36117;修水;x
b_duchang36118;都昌;x
c_nanchang3612;南昌;x
b_nanchang36121;南昌;x
b_jinxian36122;进贤;x
b_xinjian36123;新建;x
b_anyi36124;安义;x
b_qingshan36125;青山;x
b_qingyunpu36126;青云谱;x
b_xihu36127;西湖;x
b_wanli36128;湾里;x
c_wannian3613;万年;x
b_wannian36131;万年;x
b_poyang36132;鄱阳;x
b_yugan36133;余干;x
b_shizhen36134;石镇;x
b_qingyun36135;青云;x
b_raofeng36136;饶丰;x
b_lianhuashan36137;莲花山;x
b_ruihong36138;瑞洪;x
d_yichun362;宜春;x
c_yichun3621;宜春;x
b_yichun36211;宜春;x
b_wanzai36212;万载;x
b_shanggao36213;上高;x
b_yifeng36214;宜丰;x
b_tonggu36215;铜鼓;x
b_jingan36216;靖安;x
b_fengxin36217;奉新;x
b_zhangshu36218;樟树;x
c_xinyu3622;新余;x
b_xinyu36221;新余;x
b_yushui36222;渝水;x
b_fenyi36223;分宜;x
b_liangshan36224;良山;x
b_guanchao36225;观巢;x
b_fengyang36226;凤阳;x
b_gaolan36227;高岚;x
b_shuanglin36228;双林;x
c_pingxiang3623;萍乡;x
b_pingxiang36231;萍乡;x
b_anyuan36232;安源;x
b_xiangdong36233;湘东;x
b_luxi36234;芦溪;x
b_lianhua36235;莲花;x
b_shangli36236;上栗;x
b_lashi36237;腊市;x
b_cahngfeng36238;长丰;x
d_jingde363;景德;x
c_jingde3631;景德;x
b_jingde36311;景德;x
b_changjiang36312;昌江;x
b_fuliang36313;浮梁;x
b_leping36314;乐平;x
b_zhushan36315;珠山;x
b_shouan36316;寿安;x
b_hongyan36317;洪岩;x
b_jingcheng36318;竟成;x
c_shangrao3632;上饶;x
b_shangrao36321;上饶;x
b_yanshan36322;铅山;x
b_guangfeng36323;广丰;x
b_yushan36324;玉山;x
b_dexing36325;德兴;x
b_wuyuan36326;婺源;x
b_hengfeng36327;横峰;x
b_yiyang36328;弋阳;x
c_yingtan3633;鹰潭;x
b_yingtan36331;鹰潭;x
b_longhushan36332;龙虎山;x
b_yuehu36333;月湖;x
b_yujiang36334;余江;x
b_guixi36335;贵溪;x
b_pingding36336;平定;x
b_wenfang36337;文坊;x
b_shangqing36338;上清;x
d_ganzhou364;赣州;x
c_fuzhou3641;抚州;x
b_fuzhou36411;抚州;x
b_linchuan36412;临川;x
b_chongren36413;崇仁;x
b_lean36414;乐安;x
b_nanfeng36415;南丰;x
b_lichuan36416;黎川;x
b_jinxi36417;金溪;x
b_guangchang36418;广昌;x
c_ganzhou3642;赣州;x
b_ganzhou36421;赣州;x
b_yudu36422;于都;x
b_ruijin36423;瑞金;x
b_dingnan36424;定南;x
b_xingguo36425;兴国;x
b_anyuan36426;安远;x
b_chongyi36427;崇义;x
b_dayu36428;大余;x
c_jian3643;吉安;x
b_jian36431;吉安;x
b_taihe36432;泰和;x
b_suichuan36433;遂川;x
b_yongfeng36434;永丰;x
b_xingan36435;新干;x
b_anfu36436;安福;x
b_yongxin36437;永新;x
b_jinggangshan36438;井冈山;x
k_shandong37; 鲁 ;x
d_binzhou371;滨州;x
c_zhanhua3711;沾化;x
b_zhanhua37111;沾化;x
b_binhai37112;滨海;x
b_hekou37113;河口;x
b_liguo37114;利国;x
b_yihe37115;义和;x
b_gucheng37116;古城;x
b_gudao37117;孤岛;x
b_taiping37118;太平;x
c_wudi3712;无棣;x
b_wudi37121;无棣;x
b_jieshishan37122;碣石山;x
b_xinyang37123;信阳;x
b_chezhen37124;车镇;x
b_shuiwan37125;水湾;x
b_mashanzi37126;马山子;x
b_shejiaxiang37127;佘家巷;x
b_xixiaowang37128;西小王;x
c_binzhou3713;滨州;x
b_binzhou37131;滨州;x
b_lijin37132;利津;x
b_yangxin37133;阳信;x
b_huimin37134;惠民;x
b_shanghe37135;商河;x
b_jiyang37136;济阳;x
b_bincheng37137;滨城;x
b_shangji37138;尚集;x
c_dezhou3714;德州;x
b_dezhou37141;德州;x
b_qingyun37142;庆云;x
b_leling37143;乐陵;x
b_ningjin37144;宁津;x
b_lingxian37145;陵县;x
b_shentou37146;神头;x
b_taitousi37127;抬头寺;x
b_yuanqiao37128;袁桥;x
d_pingyuan372;平原;x
c_pingyuan3721;平原;x
b_pingyuan37211;平原;x
b_wucheng37212;武城;x
b_xiajin37213;夏津;x
b_qiancao37214;前曹;x
b_encheng37215;恩城;x
b_leiji37216;雷集;x
b_songlou37217;宋楼;x
b_baimahu37218;白马湖;x
c_yucheng3722;禹城;x
b_yucheng37221;禹城;x
b_qihe37222;齐河;x
b_linyi37223;临邑;x
b_xinglong37224;兴隆;x
b_anren37225;安仁;x
b_linnan37226;临南;x
b_antou37227;安头;x
b_huadian37228;华店;x
c_linqing3723;临清;x
b_linqing37231;临清;x
b_chiping37232;茌平;x
b_gaotang37233;高唐;x
b_yandian37234;烟店;x
b_yinji37235;尹集;x
b_boping37236;博平;x
b_guangping37237;广平;x
b_weiwan37238;魏湾;x
c_liaocheng3724;聊城;x
b_liaocheng37241;聊城;x
b_donge37242;东阿;x
b_yanggu37243;阳谷;x
b_guanxian37244;冠县;x
b_xinxian37245;莘县;x
b_dongchangfu37246;东昌府;x
b_dingshui37227;定水;x
b_acheng37228;阿城;x
d_jinan373;济南;x
c_jinan3731;济南;x
b_jinan37311;济南;x
b_zhangqiu37312;章丘;x
b_licheng37313;历城;x
b_changqing37314;长清;x
b_pingyin37315;平阴;x
b_lixia37316;历下;x
b_huaiyin37317;槐荫;x
b_tianqiao37318;天桥;x
c_zouping3732;邹平;x
b_zouping37321;邹平;x
b_huantai37322;桓台;x
b_gaoqing37323;高清;x
b_mingji37324;明集;x
b_tangshan37325;唐山;x
b_gaocheng37326;高城;x
b_qingcheng37327;青城;x
b_jiaoqiao37328;焦桥;x
c_dongying3733;东营;x
b_dongying37331;东营;x
b_kenli37332;垦利;x
b_boxing37333;博兴;x
b_guangrao37334;广饶;x
b_niuzhuang37335;牛庄;x
b_chunhua37336;纯化;x
b_huaguan37337;花官;x
b_longju37338;龙居;x
c_weifang3734;潍坊;x
b_weifang37341;潍坊;x
b_hanting37342;寒亭;x
b_changyi37343;昌邑;x
b_changle37344;昌乐;x
b_shouguang37345;寿光;x
b_longchi37346;龙池;x
b_fushan37327;符山;x
b_xingbu37328;杏埠;x
c_qingzhou3735;青州;x
b_qingzhou37351;青州;x
b_wolong37352;卧龙;x
b_linqu37353;临朐;x
b_longgang37354;龙岗;x
b_mihe37355;弥河;x
b_gaoliu37356;高柳;x
b_yishan37357;沂山;x
b_tanfang37358;谭坊;x
c_zibo3736;淄博;x
b_zibo37361;淄博;x
b_linzi37362;临淄;x
b_zhoucun37363;周村;x
b_zichuan37364;淄川;x
b_yiyuan37365;沂源;x
b_boshan37366;博山;x
b_longquan37367;龙泉;x
b_zihe37368;淄河;x
d_taishan374;泰山;x
c_laicheng3741;莱城;x
b_laiwu37411;莱芜;x
b_laicheng37412;莱城;x
b_xueye37413;雪野;x
b_gangcheng37414;钢城;x
b_xinzhuang37415;辛庄;x
b_yanzhuang37416;颜庄;x
b_huangzhuang37417;黄庄;x
b_yangli37418;羊里;x
c_taishan3742;泰山;x
b_taian37421;泰安;x
b_taishan37422;泰山;x
b_daiyue37423;岱岳;x
b_xintai37424;新泰;x
b_dawenkou37425;大汶口;x
b_tianbao37426;天宝;x
b_daolang37427;道朗;x
b_wennan37428;汶南;x
c_dongping3743;东平;x
b_dongping37431;东平;x
b_feicheng37432;肥城;x
b_ningyang37433;宁阳;x
b_huafeng37434;华丰;x
b_pengji37435;彭集;x
b_wenyang37436;汶阳;x
b_heshan37437;鹤山;x
b_xiaozhi37438;孝直;x
c_liangshan3744;梁山;x
b_liangshan37441;梁山;x
b_yinsi37442;寅寺;x
b_wenshang37443;汶上;x
b_xiaoanshan37444;小安山;x
b_kangyi37445;康驿;x
b_guanyi37446;馆驿;x
b_nanwang37427;南旺;x
b_hangang37428;韩岗;x
d_jining375;济宁;x
c_yuncheng3751;郓城;x
b_yuncheng37511;郓城;x
b_juye37512;巨野;x
b_zhencheng37513;甄城;x
b_fenghuang37514;凤凰;x
b_shenji37515;什集;x
b_dayi37516;大义;x
b_taiping37517;太平;x
b_wuan37518;武安;x
c_heze3752;菏泽;x
b_heze37521;菏泽;x
b_dongming37522;东明;x
b_dingtao37523;定陶;x
b_mudan37524;牡丹;x
b_dusi37525;都司;x
b_lvling37526;吕陵;x
b_menghai37527;孟海;x
b_dongmingji37528;东明集;x
c_caoxian3753;曹县;x
b_caoxian37531;曹县;x
b_chengwu37532;成武;x
b_shanxian37533;单县;x
b_taoyuan37534;桃源;x
b_houji37535;侯集;x
b_laihe37536;莱河;x
b_zhongxing37537;终兴;x
b_baifutu37538;白浮屠;x
c_jining3754;济宁;x
b_jining37541;济宁;x
b_jiaxiang37542;嘉祥;x
b_rencheng37543;任城;x
b_yutai37544;鱼台;x
b_jinxiang37545;金乡;x
b_qinghe37546;清河;x
b_zhongshan37527;仲山;x
b_wolongshan37528;卧龙山;x
d_yanzhou376;兖州;x
c_yanzhou3761;兖州;x
b_jinan37611;兖州;x
b_zhangqiu37612;曲阜;x
b_licheng37613;泗水;x
b_changqing37614;邹城;x
b_pingyin37615;陵城;x
b_lixia37616;大安;x
b_huaiyin37617;平阳寺;x
b_tianqiao37618;泗张;x
c_xuecheng3762;薛城;x
b_xuecheng37621;薛城;x
b_weishan37622;微山;x
b_tengzhou37623;藤州;x
b_shanting37624;山亭;x
b_yicheng37625;峄城;x
b_longyang37626;龙阳;x
b_taierzhuang37627;台儿庄;x
b_zaozhuang37628;枣庄;x
c_pingyi3763;平邑;x
b_pingyi37631;平邑;x
b_cangshan37632;苍山;x
b_feixian37633;费县;x
b_bolin37634;柏林;x
b_linjian37635;临涧;x
b_shaoyaoshan37636;芍药山;x
b_shangyan37637;尚岩;x
b_moshan37638;磨山;x
c_yishui3764;沂水;x
b_yishui37641;沂水;x
b_mengyin37642;蒙阴;x
b_yinan37643;沂南;x
b_zhuge37644;诸葛;x
b_jiepai37645;界牌;x
b_yedian37646;野店;x
b_puwang37627;蒲汪;x
b_yiwen37628;依汶;x
c_linyi3765;临沂;x
b_linyi37651;临沂;x
b_linshu37652;临沭;x
b_tancheng37653;郯城;x
b_junan37654;莒南;x
b_lanshan37655;兰山;x
b_hedong37656;河东;x
b_luozhuang37657;罗庄;x
b_nangu37658;南古;x
d_jimo377;即墨;x
c_juxian3771;莒县;x
b_juxian37711;莒县;x
b_wulian37712;五莲;x
b_lanshan37713;岚山;x
b_donggang37714;东港;x
b_hushan37715;虎山;x
b_luohe37716;洛河;x
b_nanhu37717;南湖;x
b_rizhao37718;日照;x
c_zhucheng3772;诸城;x
b_zhucheng37721;诸城;x
b_changcheng37722;昌城;x
b_anqiu37723;安丘;x
b_xiangzhou37724;相州;x
b_linwu37725;临浯;x
b_linghe37726;凌河;x
b_dasheng37727;大盛;x
b_jingzhi37728;景芝;x
c_jiaozhou3773;胶州;x
b_jiaozhou37731;胶州;x
b_huangdao37732;黄岛;x
b_jiaonan37733;胶南;x
b_jiaodong37734;胶东;x
b_jiaoxi37735;胶西;x
b_jiulong37736;九龙;x
b_baoshan37737;宝山;x
b_lingshandao37738;灵山岛;x
c_gaomi3774;高密;x
b_weifang37741;高密;x
b_hanting37742;平度;x
b_changyi37743;莱西;x
b_changle37744;柏城;x
b_shouguang37745;河崖;x
b_longchi37746;兰底;x
b_fushan37727;长乐;x
b_xingbu37728;南墅;x
c_jimo3775;即墨;x
b_jimo37751;即墨;x
b_laoshan37752;崂山;x
b_chengyang37753;城阳;x
b_licang37754;李沧;x
b_daxin37755;大信;x
b_wenquan37756;温泉;x
b_donggu37757;东古;x
b_qingdao37758;青岛;x
d_yantai378;烟台;x
c_laiyang3781;莱阳;x
b_laiyang37811;莱阳;x
b_wandi37812;万第;x
b_haiyang37813;海阳;x
b_wandi37814;万第;x
b_panshidian37815;盘石店;x
b_muyudian37816;沐浴店;x
b_facheng37817;发城;x
b_tuanwang37818;团旺;x
